Image,Cluster
Test_0_cutout.jpg,1
Test_100_cutout.jpg,1
Test_101_cutout.jpg,1
Test_102_cutout.jpg,1
Test_103_cutout.jpg,1
Test_104_cutout.jpg,0
Test_105_cutout.jpg,-1
Test_106_cutout.jpg,-1
Test_107_cutout.jpg,-1
Test_108_cutout.jpg,0
Test_109_cutout.jpg,-1
Test_10_cutout.jpg,0
Test_110_cutout.jpg,0
Test_111_cutout.jpg,-1
Test_112_cutout.jpg,-1
Test_113_cutout.jpg,-1
Test_114_cutout.jpg,-1
Test_115_cutout.jpg,-1
Test_116_cutout.jpg,-1
Test_117_cutout.jpg,-1
Test_118_cutout.jpg,-1
Test_119_cutout.jpg,0
Test_11_cutout.jpg,-1
Test_120_cutout.jpg,0
Test_121_cutout.jpg,-1
Test_122_cutout.jpg,-1
Test_123_cutout.jpg,0
Test_124_cutout.jpg,0
Test_125_cutout.jpg,-1
Test_126_cutout.jpg,-1
Test_127_cutout.jpg,-1
Test_128_cutout.jpg,0
Test_129_cutout.jpg,-1
Test_12_cutout.jpg,-1
Test_130_cutout.jpg,0
Test_131_cutout.jpg,0
Test_132_cutout.jpg,0
Test_133_cutout.jpg,0
Test_134_cutout.jpg,0
Test_135_cutout.jpg,0
Test_136_cutout.jpg,0
Test_137_cutout.jpg,0
Test_138_cutout.jpg,-1
Test_139_cutout.jpg,-1
Test_13_cutout.jpg,-1
Test_140_cutout.jpg,-1
Test_141_cutout.jpg,0
Test_142_cutout.jpg,0
Test_143_cutout.jpg,-1
Test_144_cutout.jpg,2
Test_145_cutout.jpg,0
Test_146_cutout.jpg,-1
Test_147_cutout.jpg,-1
Test_148_cutout.jpg,0
Test_149_cutout.jpg,-1
Test_14_cutout.jpg,-1
Test_150_cutout.jpg,2
Test_151_cutout.jpg,-1
Test_152_cutout.jpg,-1
Test_153_cutout.jpg,0
Test_154_cutout.jpg,2
Test_155_cutout.jpg,-1
Test_156_cutout.jpg,-1
Test_157_cutout.jpg,-1
Test_158_cutout.jpg,-1
Test_159_cutout.jpg,-1
Test_15_cutout.jpg,0
Test_160_cutout.jpg,-1
Test_161_cutout.jpg,1
Test_162_cutout.jpg,1
Test_163_cutout.jpg,-1
Test_164_cutout.jpg,1
Test_165_cutout.jpg,1
Test_166_cutout.jpg,1
Test_167_cutout.jpg,1
Test_168_cutout.jpg,1
Test_169_cutout.jpg,1
Test_16_cutout.jpg,-1
Test_170_cutout.jpg,0
Test_171_cutout.jpg,0
Test_172_cutout.jpg,0
Test_173_cutout.jpg,-1
Test_174_cutout.jpg,0
Test_175_cutout.jpg,-1
Test_176_cutout.jpg,0
Test_177_cutout.jpg,-1
Test_178_cutout.jpg,-1
Test_179_cutout.jpg,-1
Test_17_cutout.jpg,0
Test_180_cutout.jpg,-1
Test_181_cutout.jpg,-1
Test_182_cutout.jpg,-1
Test_183_cutout.jpg,1
Test_184_cutout.jpg,0
Test_18_cutout.jpg,-1
Test_19_cutout.jpg,-1
Test_1_cutout.jpg,1
Test_20_cutout.jpg,0
Test_21_cutout.jpg,-1
Test_22_cutout.jpg,-1
Test_23_cutout.jpg,-1
Test_24_cutout.jpg,-1
Test_25_cutout.jpg,0
Test_26_cutout.jpg,0
Test_27_cutout.jpg,-1
Test_28_cutout.jpg,1
Test_29_cutout.jpg,0
Test_2_cutout.jpg,1
Test_30_cutout.jpg,0
Test_31_cutout.jpg,-1
Test_32_cutout.jpg,-1
Test_33_cutout.jpg,2
Test_34_cutout.jpg,2
Test_35_cutout.jpg,2
Test_36_cutout.jpg,2
Test_37_cutout.jpg,2
Test_38_cutout.jpg,2
Test_39_cutout.jpg,0
Test_3_cutout.jpg,1
Test_40_cutout.jpg,-1
Test_41_cutout.jpg,0
Test_42_cutout.jpg,-1
Test_43_cutout.jpg,0
Test_44_cutout.jpg,0
Test_45_cutout.jpg,0
Test_46_cutout.jpg,0
Test_47_cutout.jpg,-1
Test_48_cutout.jpg,1
Test_49_cutout.jpg,0
Test_4_cutout.jpg,2
Test_50_cutout.jpg,0
Test_51_cutout.jpg,-1
Test_52_cutout.jpg,0
Test_53_cutout.jpg,-1
Test_54_cutout.jpg,0
Test_55_cutout.jpg,-1
Test_56_cutout.jpg,-1
Test_57_cutout.jpg,2
Test_58_cutout.jpg,2
Test_59_cutout.jpg,2
Test_5_cutout.jpg,1
Test_60_cutout.jpg,-1
Test_61_cutout.jpg,1
Test_62_cutout.jpg,0
Test_63_cutout.jpg,-1
Test_64_cutout.jpg,-1
Test_65_cutout.jpg,-1
Test_66_cutout.jpg,0
Test_67_cutout.jpg,-1
Test_68_cutout.jpg,0
Test_69_cutout.jpg,-1
Test_6_cutout.jpg,-1
Test_70_cutout.jpg,0
Test_71_cutout.jpg,0
Test_72_cutout.jpg,-1
Test_73_cutout.jpg,-1
Test_74_cutout.jpg,2
Test_75_cutout.jpg,0
Test_76_cutout.jpg,2
Test_77_cutout.jpg,2
Test_78_cutout.jpg,2
Test_79_cutout.jpg,2
Test_7_cutout.jpg,0
Test_80_cutout.jpg,0
Test_81_cutout.jpg,-1
Test_82_cutout.jpg,0
Test_83_cutout.jpg,0
Test_84_cutout.jpg,0
Test_85_cutout.jpg,-1
Test_86_cutout.jpg,0
Test_87_cutout.jpg,1
Test_88_cutout.jpg,0
Test_89_cutout.jpg,2
Test_8_cutout.jpg,-1
Test_90_cutout.jpg,-1
Test_91_cutout.jpg,-1
Test_92_cutout.jpg,0
Test_93_cutout.jpg,0
Test_94_cutout.jpg,-1
Test_95_cutout.jpg,0
Test_96_cutout.jpg,0
Test_97_cutout.jpg,-1
Test_98_cutout.jpg,0
Test_99_cutout.jpg,1
Test_9_cutout.jpg,-1
