Image,Cluster
Test_0_gaussian_noise.jpg,-1
Test_100_gaussian_noise.jpg,1
Test_101_gaussian_noise.jpg,1
Test_102_gaussian_noise.jpg,1
Test_103_gaussian_noise.jpg,1
Test_104_gaussian_noise.jpg,1
Test_105_gaussian_noise.jpg,1
Test_106_gaussian_noise.jpg,1
Test_107_gaussian_noise.jpg,1
Test_108_gaussian_noise.jpg,2
Test_109_gaussian_noise.jpg,-1
Test_10_gaussian_noise.jpg,1
Test_110_gaussian_noise.jpg,1
Test_111_gaussian_noise.jpg,1
Test_112_gaussian_noise.jpg,-1
Test_113_gaussian_noise.jpg,1
Test_114_gaussian_noise.jpg,-1
Test_115_gaussian_noise.jpg,1
Test_116_gaussian_noise.jpg,1
Test_117_gaussian_noise.jpg,1
Test_118_gaussian_noise.jpg,1
Test_119_gaussian_noise.jpg,1
Test_11_gaussian_noise.jpg,1
Test_120_gaussian_noise.jpg,-1
Test_121_gaussian_noise.jpg,-1
Test_122_gaussian_noise.jpg,1
Test_123_gaussian_noise.jpg,-1
Test_124_gaussian_noise.jpg,-1
Test_125_gaussian_noise.jpg,-1
Test_126_gaussian_noise.jpg,-1
Test_127_gaussian_noise.jpg,-1
Test_128_gaussian_noise.jpg,2
Test_129_gaussian_noise.jpg,-1
Test_12_gaussian_noise.jpg,1
Test_130_gaussian_noise.jpg,-1
Test_131_gaussian_noise.jpg,1
Test_132_gaussian_noise.jpg,1
Test_133_gaussian_noise.jpg,-1
Test_134_gaussian_noise.jpg,-1
Test_135_gaussian_noise.jpg,1
Test_136_gaussian_noise.jpg,1
Test_137_gaussian_noise.jpg,1
Test_138_gaussian_noise.jpg,1
Test_139_gaussian_noise.jpg,1
Test_13_gaussian_noise.jpg,1
Test_140_gaussian_noise.jpg,1
Test_141_gaussian_noise.jpg,1
Test_142_gaussian_noise.jpg,1
Test_143_gaussian_noise.jpg,-1
Test_144_gaussian_noise.jpg,-1
Test_145_gaussian_noise.jpg,-1
Test_146_gaussian_noise.jpg,1
Test_147_gaussian_noise.jpg,-1
Test_148_gaussian_noise.jpg,1
Test_149_gaussian_noise.jpg,-1
Test_14_gaussian_noise.jpg,1
Test_150_gaussian_noise.jpg,-1
Test_151_gaussian_noise.jpg,-1
Test_152_gaussian_noise.jpg,-1
Test_153_gaussian_noise.jpg,-1
Test_154_gaussian_noise.jpg,-1
Test_155_gaussian_noise.jpg,2
Test_156_gaussian_noise.jpg,-1
Test_157_gaussian_noise.jpg,1
Test_158_gaussian_noise.jpg,1
Test_159_gaussian_noise.jpg,1
Test_15_gaussian_noise.jpg,-1
Test_160_gaussian_noise.jpg,-1
Test_161_gaussian_noise.jpg,1
Test_162_gaussian_noise.jpg,1
Test_163_gaussian_noise.jpg,-1
Test_164_gaussian_noise.jpg,1
Test_165_gaussian_noise.jpg,-1
Test_166_gaussian_noise.jpg,-1
Test_167_gaussian_noise.jpg,-1
Test_168_gaussian_noise.jpg,-1
Test_169_gaussian_noise.jpg,-1
Test_16_gaussian_noise.jpg,-1
Test_170_gaussian_noise.jpg,1
Test_171_gaussian_noise.jpg,-1
Test_172_gaussian_noise.jpg,-1
Test_173_gaussian_noise.jpg,1
Test_174_gaussian_noise.jpg,1
Test_175_gaussian_noise.jpg,1
Test_176_gaussian_noise.jpg,-1
Test_177_gaussian_noise.jpg,-1
Test_178_gaussian_noise.jpg,1
Test_179_gaussian_noise.jpg,1
Test_17_gaussian_noise.jpg,-1
Test_180_gaussian_noise.jpg,1
Test_181_gaussian_noise.jpg,1
Test_182_gaussian_noise.jpg,1
Test_183_gaussian_noise.jpg,1
Test_184_gaussian_noise.jpg,1
Test_18_gaussian_noise.jpg,-1
Test_19_gaussian_noise.jpg,-1
Test_1_gaussian_noise.jpg,-1
Test_20_gaussian_noise.jpg,1
Test_21_gaussian_noise.jpg,-1
Test_22_gaussian_noise.jpg,1
Test_23_gaussian_noise.jpg,-1
Test_24_gaussian_noise.jpg,1
Test_25_gaussian_noise.jpg,1
Test_26_gaussian_noise.jpg,1
Test_27_gaussian_noise.jpg,-1
Test_28_gaussian_noise.jpg,1
Test_29_gaussian_noise.jpg,1
Test_2_gaussian_noise.jpg,1
Test_30_gaussian_noise.jpg,1
Test_31_gaussian_noise.jpg,1
Test_32_gaussian_noise.jpg,-1
Test_33_gaussian_noise.jpg,-1
Test_34_gaussian_noise.jpg,-1
Test_35_gaussian_noise.jpg,-1
Test_36_gaussian_noise.jpg,-1
Test_37_gaussian_noise.jpg,2
Test_38_gaussian_noise.jpg,-1
Test_39_gaussian_noise.jpg,1
Test_3_gaussian_noise.jpg,1
Test_40_gaussian_noise.jpg,-1
Test_41_gaussian_noise.jpg,-1
Test_42_gaussian_noise.jpg,-1
Test_43_gaussian_noise.jpg,1
Test_44_gaussian_noise.jpg,-1
Test_45_gaussian_noise.jpg,-1
Test_46_gaussian_noise.jpg,1
Test_47_gaussian_noise.jpg,-1
Test_48_gaussian_noise.jpg,-1
Test_49_gaussian_noise.jpg,-1
Test_4_gaussian_noise.jpg,1
Test_50_gaussian_noise.jpg,-1
Test_51_gaussian_noise.jpg,1
Test_52_gaussian_noise.jpg,1
Test_53_gaussian_noise.jpg,1
Test_54_gaussian_noise.jpg,-1
Test_55_gaussian_noise.jpg,-1
Test_56_gaussian_noise.jpg,-1
Test_57_gaussian_noise.jpg,-1
Test_58_gaussian_noise.jpg,2
Test_59_gaussian_noise.jpg,-1
Test_5_gaussian_noise.jpg,-1
Test_60_gaussian_noise.jpg,-1
Test_61_gaussian_noise.jpg,1
Test_62_gaussian_noise.jpg,1
Test_63_gaussian_noise.jpg,-1
Test_64_gaussian_noise.jpg,1
Test_65_gaussian_noise.jpg,-1
Test_66_gaussian_noise.jpg,1
Test_67_gaussian_noise.jpg,-1
Test_68_gaussian_noise.jpg,1
Test_69_gaussian_noise.jpg,1
Test_6_gaussian_noise.jpg,1
Test_70_gaussian_noise.jpg,-1
Test_71_gaussian_noise.jpg,1
Test_72_gaussian_noise.jpg,-1
Test_73_gaussian_noise.jpg,-1
Test_74_gaussian_noise.jpg,-1
Test_75_gaussian_noise.jpg,-1
Test_76_gaussian_noise.jpg,-1
Test_77_gaussian_noise.jpg,-1
Test_78_gaussian_noise.jpg,0
Test_79_gaussian_noise.jpg,-1
Test_7_gaussian_noise.jpg,-1
Test_80_gaussian_noise.jpg,0
Test_81_gaussian_noise.jpg,-1
Test_82_gaussian_noise.jpg,0
Test_83_gaussian_noise.jpg,0
Test_84_gaussian_noise.jpg,-1
Test_85_gaussian_noise.jpg,-1
Test_86_gaussian_noise.jpg,1
Test_87_gaussian_noise.jpg,1
Test_88_gaussian_noise.jpg,1
Test_89_gaussian_noise.jpg,-1
Test_8_gaussian_noise.jpg,-1
Test_90_gaussian_noise.jpg,-1
Test_91_gaussian_noise.jpg,2
Test_92_gaussian_noise.jpg,1
Test_93_gaussian_noise.jpg,1
Test_94_gaussian_noise.jpg,1
Test_95_gaussian_noise.jpg,1
Test_96_gaussian_noise.jpg,-1
Test_97_gaussian_noise.jpg,0
Test_98_gaussian_noise.jpg,0
Test_99_gaussian_noise.jpg,1
Test_9_gaussian_noise.jpg,1
