Image,Cluster
Test_0_horizontal_flip.jpg,1
Test_100_horizontal_flip.jpg,1
Test_101_horizontal_flip.jpg,1
Test_102_horizontal_flip.jpg,1
Test_103_horizontal_flip.jpg,1
Test_104_horizontal_flip.jpg,0
Test_105_horizontal_flip.jpg,0
Test_106_horizontal_flip.jpg,0
Test_107_horizontal_flip.jpg,0
Test_108_horizontal_flip.jpg,0
Test_109_horizontal_flip.jpg,0
Test_10_horizontal_flip.jpg,0
Test_110_horizontal_flip.jpg,-1
Test_111_horizontal_flip.jpg,-1
Test_112_horizontal_flip.jpg,0
Test_113_horizontal_flip.jpg,0
Test_114_horizontal_flip.jpg,0
Test_115_horizontal_flip.jpg,-1
Test_116_horizontal_flip.jpg,-1
Test_117_horizontal_flip.jpg,-1
Test_118_horizontal_flip.jpg,-1
Test_119_horizontal_flip.jpg,-1
Test_11_horizontal_flip.jpg,0
Test_120_horizontal_flip.jpg,0
Test_121_horizontal_flip.jpg,-1
Test_122_horizontal_flip.jpg,-1
Test_123_horizontal_flip.jpg,0
Test_124_horizontal_flip.jpg,0
Test_125_horizontal_flip.jpg,0
Test_126_horizontal_flip.jpg,0
Test_127_horizontal_flip.jpg,0
Test_128_horizontal_flip.jpg,0
Test_129_horizontal_flip.jpg,-1
Test_12_horizontal_flip.jpg,-1
Test_130_horizontal_flip.jpg,0
Test_131_horizontal_flip.jpg,0
Test_132_horizontal_flip.jpg,0
Test_133_horizontal_flip.jpg,0
Test_134_horizontal_flip.jpg,0
Test_135_horizontal_flip.jpg,0
Test_136_horizontal_flip.jpg,0
Test_137_horizontal_flip.jpg,0
Test_138_horizontal_flip.jpg,0
Test_139_horizontal_flip.jpg,0
Test_13_horizontal_flip.jpg,-1
Test_140_horizontal_flip.jpg,0
Test_141_horizontal_flip.jpg,0
Test_142_horizontal_flip.jpg,0
Test_143_horizontal_flip.jpg,0
Test_144_horizontal_flip.jpg,1
Test_145_horizontal_flip.jpg,0
Test_146_horizontal_flip.jpg,-1
Test_147_horizontal_flip.jpg,-1
Test_148_horizontal_flip.jpg,0
Test_149_horizontal_flip.jpg,0
Test_14_horizontal_flip.jpg,0
Test_150_horizontal_flip.jpg,2
Test_151_horizontal_flip.jpg,0
Test_152_horizontal_flip.jpg,-1
Test_153_horizontal_flip.jpg,0
Test_154_horizontal_flip.jpg,1
Test_155_horizontal_flip.jpg,0
Test_156_horizontal_flip.jpg,-1
Test_157_horizontal_flip.jpg,0
Test_158_horizontal_flip.jpg,0
Test_159_horizontal_flip.jpg,0
Test_15_horizontal_flip.jpg,0
Test_160_horizontal_flip.jpg,-1
Test_161_horizontal_flip.jpg,1
Test_162_horizontal_flip.jpg,1
Test_163_horizontal_flip.jpg,1
Test_164_horizontal_flip.jpg,1
Test_165_horizontal_flip.jpg,1
Test_166_horizontal_flip.jpg,1
Test_167_horizontal_flip.jpg,1
Test_168_horizontal_flip.jpg,1
Test_169_horizontal_flip.jpg,1
Test_16_horizontal_flip.jpg,0
Test_170_horizontal_flip.jpg,0
Test_171_horizontal_flip.jpg,0
Test_172_horizontal_flip.jpg,0
Test_173_horizontal_flip.jpg,0
Test_174_horizontal_flip.jpg,0
Test_175_horizontal_flip.jpg,-1
Test_176_horizontal_flip.jpg,0
Test_177_horizontal_flip.jpg,0
Test_178_horizontal_flip.jpg,-1
Test_179_horizontal_flip.jpg,-1
Test_17_horizontal_flip.jpg,0
Test_180_horizontal_flip.jpg,-1
Test_181_horizontal_flip.jpg,-1
Test_182_horizontal_flip.jpg,-1
Test_183_horizontal_flip.jpg,0
Test_184_horizontal_flip.jpg,0
Test_18_horizontal_flip.jpg,0
Test_19_horizontal_flip.jpg,-1
Test_1_horizontal_flip.jpg,1
Test_20_horizontal_flip.jpg,0
Test_21_horizontal_flip.jpg,0
Test_22_horizontal_flip.jpg,0
Test_23_horizontal_flip.jpg,-1
Test_24_horizontal_flip.jpg,-1
Test_25_horizontal_flip.jpg,-1
Test_26_horizontal_flip.jpg,0
Test_27_horizontal_flip.jpg,-1
Test_28_horizontal_flip.jpg,0
Test_29_horizontal_flip.jpg,0
Test_2_horizontal_flip.jpg,1
Test_30_horizontal_flip.jpg,0
Test_31_horizontal_flip.jpg,0
Test_32_horizontal_flip.jpg,-1
Test_33_horizontal_flip.jpg,2
Test_34_horizontal_flip.jpg,2
Test_35_horizontal_flip.jpg,2
Test_36_horizontal_flip.jpg,-1
Test_37_horizontal_flip.jpg,2
Test_38_horizontal_flip.jpg,2
Test_39_horizontal_flip.jpg,0
Test_3_horizontal_flip.jpg,-1
Test_40_horizontal_flip.jpg,-1
Test_41_horizontal_flip.jpg,0
Test_42_horizontal_flip.jpg,-1
Test_43_horizontal_flip.jpg,0
Test_44_horizontal_flip.jpg,0
Test_45_horizontal_flip.jpg,0
Test_46_horizontal_flip.jpg,0
Test_47_horizontal_flip.jpg,-1
Test_48_horizontal_flip.jpg,-1
Test_49_horizontal_flip.jpg,0
Test_4_horizontal_flip.jpg,1
Test_50_horizontal_flip.jpg,0
Test_51_horizontal_flip.jpg,-1
Test_52_horizontal_flip.jpg,0
Test_53_horizontal_flip.jpg,-1
Test_54_horizontal_flip.jpg,0
Test_55_horizontal_flip.jpg,-1
Test_56_horizontal_flip.jpg,-1
Test_57_horizontal_flip.jpg,2
Test_58_horizontal_flip.jpg,2
Test_59_horizontal_flip.jpg,2
Test_5_horizontal_flip.jpg,1
Test_60_horizontal_flip.jpg,-1
Test_61_horizontal_flip.jpg,-1
Test_62_horizontal_flip.jpg,0
Test_63_horizontal_flip.jpg,-1
Test_64_horizontal_flip.jpg,2
Test_65_horizontal_flip.jpg,-1
Test_66_horizontal_flip.jpg,0
Test_67_horizontal_flip.jpg,-1
Test_68_horizontal_flip.jpg,0
Test_69_horizontal_flip.jpg,0
Test_6_horizontal_flip.jpg,-1
Test_70_horizontal_flip.jpg,0
Test_71_horizontal_flip.jpg,0
Test_72_horizontal_flip.jpg,-1
Test_73_horizontal_flip.jpg,-1
Test_74_horizontal_flip.jpg,2
Test_75_horizontal_flip.jpg,2
Test_76_horizontal_flip.jpg,2
Test_77_horizontal_flip.jpg,2
Test_78_horizontal_flip.jpg,2
Test_79_horizontal_flip.jpg,2
Test_7_horizontal_flip.jpg,0
Test_80_horizontal_flip.jpg,0
Test_81_horizontal_flip.jpg,-1
Test_82_horizontal_flip.jpg,0
Test_83_horizontal_flip.jpg,2
Test_84_horizontal_flip.jpg,0
Test_85_horizontal_flip.jpg,-1
Test_86_horizontal_flip.jpg,0
Test_87_horizontal_flip.jpg,0
Test_88_horizontal_flip.jpg,0
Test_89_horizontal_flip.jpg,2
Test_8_horizontal_flip.jpg,-1
Test_90_horizontal_flip.jpg,2
Test_91_horizontal_flip.jpg,2
Test_92_horizontal_flip.jpg,0
Test_93_horizontal_flip.jpg,0
Test_94_horizontal_flip.jpg,0
Test_95_horizontal_flip.jpg,0
Test_96_horizontal_flip.jpg,0
Test_97_horizontal_flip.jpg,0
Test_98_horizontal_flip.jpg,0
Test_99_horizontal_flip.jpg,1
Test_9_horizontal_flip.jpg,-1
